id,corpus,source,title,url,tier,retrieval,ratingStars,ratingCount,flourG,oatsG,fatG,sugarG,saltG,liquidG,bakingPowderG,bakingSodaG,nutsG,eggG,toppingG,fruitG,basisG,oatFractionPct,fatPct,sugarPct,sugarBrownPct,saltPct,liquidPct,bakingPowderPct,bakingSodaPct,nutsPct,dish,areaCm2,loadGPerCm2,fruitToToppingRatio,ovenC,bakeMinutes,restMinutes,prebakeFruit,butterState,sodaToAcidLiquid,acidLiquidG,inferredFields,excluded,exclusionReason,flags,notes
crumble-delia-best-ever,crumble,Delia Smith,The Best Ever Apple Crumble,https://www.deliaonline.com/recipes/main-ingredient/apple-recipes/the-best-ever-apple-crumble,T1,direct,,,175,0,75,110,0,0,0,0,110,0,470,925,175,0,42.86,62.86,62.86,0,0,0,0,62.86,24 x 16 x 6 cm,384,1.224,1.97,200,42.5,10,false,cold,,0,,false,,SELF-RAISING FLOUR — contains a leavener; SALTED butter — its salt is real but unquantifiable; almonds are 63% of flour weight,Contradicts the widely-circulated Delia 'basic crumble' on compaction: here 'press it down quite firmly all over; the more tightly it is packed together the crisper it will be'.
crumble-delia-643,crumble,Delia Smith (attributed),"basic crumble topping, 6:4:3",https://deliasmithrecipes.uk/delia-smith-crumble-topping-recipe/,T3,seo-aggregator,,,175,0,110,75,0,0,0,0,0,0,360,0,175,0,62.86,42.86,42.86,0,0,0,0,0,,,,,200,37.5,,false,cold,,0,,true,Rests entirely on an AI-generated SEO farm cluster. Never verified against Delia. Was cited as a headline finding in an early pass — that was the single weakest citation in the survey.,,
crumble-bbc-good-food,crumble,BBC Good Food,The best apple crumble,https://www.bbcgoodfoodme.com/recipes/best-apple-crumble/,T2,licensee-edition,,,175,0,110,122.5,0,0,0,0,0,0,407.5,575,175,0,62.86,70,7.14,0,0,0,0,0,"23 cm round, 5 cm deep",415.5,0.981,1.41,,37.5,10,false,cold,,0,"oats: no factor for oats/tbsp | demerara: A raw cane sugar, less dense than granulated; treated as granulated here, which slightly overstates its weight.",false,,OVEN TEMPERATURE NEVER RECOVERED — contributes to the time median but not the temperature median,"Uses 'sandy' as a POSITIVE processor target, directly against Cloake's use of it as a defect. The survey concluded sandy was a defect word on Cloake's authority without weighing this."
crumble-jamie-oliver,crumble,Jamie Oliver,Classic apple crumble,https://www.jamieoliver.com/recipes/fruit/classic-apple-crumble/,T1,direct,,,100,0,50,50,0,0,0,0,0,0,200,1500,100,0,50,50,0,0,0,0,0,0,25 x 30 cm,750,0.267,7.5,200,27.5,,false,cold,,0,,false,,"SUSPECT — 200 g of topping over 750 cm2 for 8 people is 25 g per person, under a third of every other source","The single most influential row in the load range: it alone stretches fruit:topping from ~4.6 to 7.5 and load from 0.95 down to 0.267. Never checked against the possibility of a publishing error. If wrong, the '11x spread' headline shrinks materially."
crumble-kitchen-sanctuary,crumble,Kitchen Sanctuary,Apple Crumble,https://www.kitchensanctuary.com/apple-crumble/,T1,direct,4.38,8,150,0,120,120,0,0,0,0,0,0,390,780,150,0,80,80,0,0,0,0,0,0,"22.5 cm round, 5 cm deep",397.6,0.981,2,180,30,,true,cold,,0,oats: no factor for oats/tbsp,false,,,"Richest texture vocabulary in the corpus. The defect quote 'watery and soggy' is from a COMMENTER, not the author — it was counted in the defect tally as if it were recipe text and should be down-weighted."
crumble-atk,crumble,America's Test Kitchen,Apple Crumble,https://www.americastestkitchen.com/recipes/11908-apple-crumble,T1,direct,4,415,142,0,85.2,99,2.85,0,0,0,0,0,329.1,1814.4,142,0,60,69.72,69.72,2.01,0,0,0,0,"8-inch square, 2-inch sides",412.9,0.797,5.51,204,65,45,true,melted,,0,,false,,,"Source of the '5 to 1' filling-to-topping doctrine. ATK never states whether that is by weight or volume, raw or baked — the reading that it is raw mass is reconstruction from their own numbers (1814/393 = 4.62), not their statement. Only source to specify salt in BOTH topping and filling."
crisp-atk-master,crisp,America's Test Kitchen,Master Recipe for Fruit Crisp,https://www.americastestkitchen.com/recipes/1665-master-recipe-for-fruit-crisp,T1,direct,,,71,45,82.4,132,1.43,0,0,0,0,0,331.8,770,116,38.79,71.03,113.79,113.79,1.23,0,0,0,0,8-inch square,400,0.83,2.32,218,50,,false,cold,,0,shortening: No published factor was available; 205 g/cup is an estimate.,false,,FRUIT QUANTITY INTERNALLY CONTRADICTORY — '7 cups' and '2 1/2 to 3 pounds' cannot both hold; only source using shortening,"Reporting butter alone (49 normalised) made this look like the leanest topping in the set; counting total fat it is 71, dead on the median. Also specifies QUICK oats while ATK's own Kids recipe forbids them."
crisp-atk-pear,crisp,America's Test Kitchen,Pear Crisp with Oat Topping,https://www.americastestkitchen.com/recipes/3835-pear-crisp-with-oat-topping,T1,direct,,,71,43,85.2,100,0.71,0,0,0,50,0,349.9,1360.8,114,37.72,74.74,87.72,43.86,0.63,0,0,0,43.86,8-inch square,400,0.875,3.89,218,29.5,15,false,melted,,0,nuts: Varies with nut and chop size; 100 g/cup is a rough middle.,false,,,"THE most important single quote in the corpus for this model: the only source anywhere explaining crunch retention, and it credits MELTED BUTTER, not oats."
crisp-king-arthur,crisp,King Arthur Baking,Classic Apple Crisp,https://www.kingarthurbaking.com/recipes/classic-apple-crisp-recipe,T1,direct,4.8,214,90,45,113,142,1.43,0,3,0,0,0,394.4,907.2,135,33.33,83.7,105.19,105.19,1.06,0,2.22,0,0,9-inch square,523,0.754,2.3,177,60,20,false,cold,,0,,false,,ONLY source in the crisp corpus containing baking powder,A third party (The Pancake Princess) states this recipe uses 'regular (not cold) butter'. The page says cold. The third party is wrong.
crisp-sallys,crisp,Sally's Baking Addiction,Apple Crisp,https://sallysbakingaddiction.com/apple-crisp/,T1,direct,4.8,171,94,85,113,150,0,0,0,0,0,0,442,1200,179,47.49,63.13,83.8,83.8,0,0,0,0,0,9x13-inch,759,0.582,2.71,177,45,5,false,cold,,0,,false,,"NO SALT — surprising for this author; possible extraction failure, unverified","Oats stirred in AFTER the butter is cut in, and the only source giving a reason. Also the only source attributing crunch to butter temperature from the opposite direction to ATK."
